.0398   .632208 
.0388   .632294 
.0378   .632379 
.0368   .632465 
.0358   .632550 
.0348   .632635 
.0338   .632721 
.0328   .632806 
.0318   .632892 
.0308   .632863 
.0298   .632948 
.0288   .633034 
.0278   .633005 
.0268   .632976 
.0258   .632861 
.0248   .633033 
.0238   .633004 
.0228   .632975 
.0218   .632946 
.0208   .632917 
.0198   .632888 
.0188   .632859 
.0178   .632838 
.0168   .632916 
.0158   .632887 
.0148   .632858 
.0138   .632829 
.0128   .632800 
.0118   .632771 
.0108   .632628 
.0098   .632599 
.0088   .632685 
.0078   .632656 
.0068   .632627 
.0058   .632598 
.0048   .632569 
.0038   .632655 
.0028   .632626 
.0018   .632597 
.0008   .632568 
-.0002  .632653 
-.0012  .632624 
-.0022  .632596 
-.0032  .632567 
-.0042  .632538 
-.0052  .632623 
-.0062  .632594 
-.0072  .632680 
-.0082  .632651 
-.0092  .632622 
-.0102  .632707 
-.0112  .632793 
-.0122  .632878 
-.0132  .632964 
-.0142  .633049 
-.0152  .633249 
