 3.00E+00 2.93E+07 1.19E+15 1.41E+14 0.485    7.10E+03
 3.00E+00 2.93E+07 1.19E+15 1.41E+14 0.563    7.10E+03
 2.60E+01 3.38E+07 9.40E+14 1.89E+14 1.032    7.10E+03
 2.60E+01 3.38E+07 9.40E+14 1.84e+14 1.120    7.10E+03
 3.10E+01 2.88E+07 8.86E+14 2.04E+14 1.332    7.00E+03
 3.50E+01 6.03E+07 8.43E+14 2.17E+14 1.138    7.00E+03
 3.80E+01 4.76E+07 8.10E+14 2.08E+14 1.188    7.20E+03
 4.10E+01 5.08E+07 7.78E+14 2.46E+14 1.143    6.90E+03
 4.40E+01 5.32E+07 7.46E+14 2.32E+14 1.267    6.90E+03
 4.40E+01 5.32E+07 7.46E+14 2.43E+14 1.400    6.90E+03
 4.70E+01 6.13E+07 7.13E+14 2.57E+14 1.377    6.70E+03
 5.10E+01 6.18E+07 6.70E+14 2.74E+14 1.380    6.60E+03
 5.10E+01 6.18E+07 6.70E+14 2.49E+14 1.330    6.60E+03
 6.20E+01 1.68E+08 5.51E+14 2.31E+14 1.344    6.10E+03
 6.40E+01 1.67E+08 5.29E+14 2.32E+14 1.343    6.10E+03
 6.40E+01 1.67E+08 5.29E+14 2.26E+14 1.440    6.10E+03
 6.80E+01 2.18E+08 4.86E+14 2.19E+14 1.347    5.60E+03
 7.60E+01 8.10E+08 3.99E+14 2.32E+14 1.463    3.50E+03
 7.60E+01 8.10E+08 3.99E+14 2.42E+14 1.451    3.50E+03
 8.80E+01 1.39E+11 2.69E+14 2.09E+14 1.537    1.60E+03
 1.00E+02 7.16E+12 1.40E+14 1.59E+14 1.723    6.70E+02
 1.00E+02 7.16E+12 1.40E+14 1.64E+14 1.702    6.70E+02

